1,Vete,"Bad Bunny",14898265,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
2,"Unaccommodating (feat. Young M.A)",Eminem,14792747,https://open.spotify.com/track/0q2vG0UVuy6ajjcpkQHdZM
3,BOP,DaBaby,14163167,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
4,"Ride It",Regard,14011559,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
5,"Before You Go","Lewis Capaldi",13993666,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
6,Suicidal,"YNW Melly",13981574,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
7,"No Idea","Don Toliver",13281093,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
8,"Blue World","Mac Miller",12762791,https://open.spotify.com/track/2hwOoMtWPtTSSn6WHV7Vp5
9,"Watermelon Sugar","Harry Styles",12650858,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
10,Fantasias,"Rauw Alejandro",12612009,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
