1,Rare,"Selena Gomez",17524322,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
2,"Those Kinda Nights (feat. Ed Sheeran)",Eminem,16416620,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH
3,"bad guy","Billie Eilish",16405196,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
4,"Adore You","Harry Styles",16285662,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
5,"My Oh My (feat. DaBaby)","Camila Cabello",16246433,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
6,Darkness,Eminem,15658341,https://open.spotify.com/track/5SiZJoLXp3WOl3J4C8IK0d
7,"What A Man Gotta Do","Jonas Brothers",15362782,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
8,"Sigues Con El","Dimelo Flow",15207363,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
9,"hot girl bummer",Blackbear,15114079,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
10,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,14947053,https://open.spotify.com/track/0GQ5bFTVFFKpwNPc7KwQnB
