1,Memories,"Maroon 5",24516744,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
2,Circles,"Post Malone",23997809,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
3,"everything i wanted","Billie Eilish",21786149,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
4,"Good News","Mac Miller",21727425,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
5,"RITMO (Bad Boys For Life)","The Black Eyed Peas",21103190,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
6,"You should be sad",Halsey,19736651,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
7,"Someone You Loved","Lewis Capaldi",19523711,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
8,Señorita,"Shawn Mendes",19265338,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
9,"Black Swan",BTS,18424710,https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b
10,"Lose You To Love Me","Selena Gomez",17714002,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
